task,taskLabel,description
http://h-da.de/ml-ontology/action_recognition,action recognition,"Recognizing or predicting human actions, activities, gestures or movements from sensor data, video or wearable signals, including activity detection, motion classification and behavior recognition"
http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,"Detecting rare, abnormal, faulty or unexpected events, outliers or deviations in data, including fault detection, defect identification, failure diagnosis and novelty detection"
http://h-da.de/ml-ontology/association_rule_learning,association rule learning,"Discovering relationships, correlations or co-occurrence patterns between variables in large datasets, including rule mining, pattern discovery and dependency analysis"
http://h-da.de/ml-ontology/audio_classification,audio classification,"Classifying audio signals into categories such as speech, music, environmental sounds or machine conditions, including sound recognition and acoustic event classification"
http://h-da.de/ml-ontology/audio_regression,audio regression,"Predicting continuous numerical values from audio signals, including estimating physical quantities, acoustic properties or system states from sound"
http://h-da.de/ml-ontology/binary_classification,binary classification,"Classifying instances into one of two categories, such as normal vs faulty, yes vs no, success vs failure, including detection and decision tasks with two outcomes"
http://h-da.de/ml-ontology/classification,classification,"Predicting discrete categories or labels for data instances, including identification, categorization, recognition and diagnostic decision making"
http://h-da.de/ml-ontology/clustering,clustering,"Grouping data into clusters based on similarity, structure or patterns without predefined labels, including unsupervised grouping and pattern discovery"
http://h-da.de/ml-ontology/community_detection,community detection,"Identifying groups or communities in networks or graphs with dense internal connections, including network structure discovery and graph clustering"
http://h-da.de/ml-ontology/feature_extraction,feature extraction,"Transforming raw data into informative representations, features or descriptors using signal processing, representation learning or embedding techniques to support downstream modeling"
http://h-da.de/ml-ontology/feature_reduction,feature reduction,"Reducing dimensionality of feature spaces while preserving important information, including compression, projection and representation simplification"
http://h-da.de/ml-ontology/feature_selection,feature selection,"Selecting relevant variables or attributes from a dataset to improve model performance, interpretability or efficiency"
http://h-da.de/ml-ontology/graph_matching,graph matching,"Measuring similarity or correspondence between graphs, including structural alignment and pattern matching in network data"
http://h-da.de/ml-ontology/image_classification,image classification,"Classifying images into categories such as object type, defect presence or scene class, including visual recognition and image-based diagnosis"
http://h-da.de/ml-ontology/image_regression,image regression,"Predicting continuous numerical values from images, including measurement estimation and quantitative visual analysis"
http://h-da.de/ml-ontology/image_segmentation,image segmentation,"Segmenting images into meaningful regions or objects, including pixel-level labeling and boundary detection"
http://h-da.de/ml-ontology/link_prediction,link prediction,"Predicting missing or future connections between entities in a network, including relationship inference and graph completion"
http://h-da.de/ml-ontology/multiclass_classification,multiclass classification,"Classifying instances into one of multiple categories, including multi-label recognition and diagnostic categorization"
http://h-da.de/ml-ontology/named_entity_recognition,named entity recognition,"Extracting and labeling entities such as names, locations or technical terms from text, including information extraction"
http://h-da.de/ml-ontology/object_detection,object detection,"Detecting and localizing objects within images or video, including bounding box prediction and visual target identification"
http://h-da.de/ml-ontology/ranking,ranking,"Ordering items according to relevance, importance or preference, including prioritization and scoring tasks"
http://h-da.de/ml-ontology/recommendation,recommendation,"Predicting user preferences or suggesting relevant items, including personalized ranking and recommendation systems"
http://h-da.de/ml-ontology/regression,regression,"Predicting continuous numerical values, including estimation, forecasting, measurement prediction and quantitative modeling"
http://h-da.de/ml-ontology/sentence_similarity,sentence similarity,"Estimating semantic similarity or relatedness between sentences or text segments"
http://h-da.de/ml-ontology/sentiment_analysis,sentiment analysis,"Detecting opinions, emotions or subjective tone in text, including polarity classification"
http://h-da.de/ml-ontology/tabular_classification,tabular classification,"Classifying structured tabular data into categories, including decision support and predictive labeling"
http://h-da.de/ml-ontology/tabular_clustering,tabular clustering,"Grouping structured tabular data into clusters without labels, including unsupervised segmentation"
http://h-da.de/ml-ontology/tabular_regression,tabular regression,"Predicting continuous numerical values from structured tabular datasets"
http://h-da.de/ml-ontology/text_analytics,text analytics,"Converting unstructured text into structured representations, including information extraction, parsing and document processing"
http://h-da.de/ml-ontology/text_classification,text classification,"Classifying documents or text into categories such as topics, intents or labels"
http://h-da.de/ml-ontology/text_regression,text regression,"Predicting numerical scores or continuous values from textual data"
http://h-da.de/ml-ontology/time_series_analysis,time series analysis,"Analyzing temporal signals or sequential data to identify patterns, trends or system behavior over time"
http://h-da.de/ml-ontology/time_series_classification,time series classification,"Classifying time-dependent signals such as sensor data, vibration signals or sequences into categories"
http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,"Predicting future values of temporal signals based on historical observations"
http://h-da.de/ml-ontology/topic_modeling,topic modeling,"Discovering latent thematic structures in document collections, including unsupervised topic discovery"
http://h-da.de/ml-ontology/translation,translation,"Automatically translating text between natural languages using machine learning models"
http://h-da.de/ml-ontology/vertex_classification,vertex classification,"Assigning labels to nodes in a graph based on their attributes or connections"
http://h-da.de/ml-ontology/video_classification,video classification,"Classifying videos into categories based on visual or temporal content"
http://h-da.de/ml-ontology/video_object_tracking,video object tracking,"Tracking objects across video frames over time, including motion tracking"
http://h-da.de/ml-ontology/video_regression,video regression,"Predicting continuous numerical values from video data"
