doi,title
10.3390/asi6050076,Measuring Carbon in Cities and Their Buildings through Reverse Engineering of Life Cycle Assessment
10.1016/j.resconrec.2023.107073,Predictive modeling for the quantity of recycled end-of-life products using optimized ensemble learners
10.30638/eemj.2023.018,END-OF-LIFE VEHICLES ASSESSMENT OF THE AUTOMOBILE INDUSTRY USING REVERSE LOGISTICS SUPPLY CHAIN AND MACHINE LEARNING ALGORITHMS
10.1115/DETC2023-114718,PREDICTING THE QUANTITY OF RECYCLED END-OF-LIFE PRODUCTS USING A HYBRID SVR-BASED MODEL
10.1080/00207543.2017.1349954,Quality assessment of used-products under uncertain age and usage conditions
10.1016/j.resconrec.2025.108573,A novel approach to forecasting product end-of-life circularity from material compositions using a hybrid autoencoder-predictor model
10.1002/amp2.70032,Improvements to Disassembly Lot Sizing With Task Control Through Reinforcement Learning
10.1109/ICCAD52417.2021.9638757,Comparison of data driven algorithms for SoH estimation of Lithium-ion batteries
10.1016/j.dche.2023.100103,Machine learning applications in biomass pyrolysis: From biorefinery to end-of-life product management
10.1016/j.jclepro.2024.143602,Machine learning to enhance sustainable plastics: A review
10.1007/978-981-97-3320-0_9,Hyperspectral Imaging for e-waste Material Identification
10.1007/978-981-96-3949-6_29,Feature-Based Transfer Learning for High-Value Component Recovery in Electric Vehicles: An InceptionV3 Model Evaluation
10.1109/ICMCSI64620.2025.10883185,Sustainable Industrial Symbiosis using IoT and Gradient Boosting for Efficient Waste Management
10.1016/j.techsoc.2024.102720,How does AI perform in industry chain? A patent claims analysis approach
10.1016/j.enconman.2024.118996,A systematic study involving patent analysis and theoretical modeling of eco-friendly technologies for electric vehicles and power batteries to ease carbon emission from the transportation industry
10.1109/TII.2025.3598490,Computerized Automation and Machine Learning for Prediction of Melt Mass-Flow Rate Using Custom-Built Machine in Industrial IoT
10.1016/j.energy.2021.120113,Improving energy efficiency of carbon fiber manufacturing through waste heat recovery: A circular economy approach with machine learning
10.3964/j.issn.1000-0593(2021)02-0624-05,Study on Identification Method Based on XGBoost Model for Aluminum Alloy Using Laser-Induced Breakdown Spectroscopy
10.1016/j.eti.2020.101137,Accuracy enhancement in mobile phone recycling process using machine learning technique and MEPH process
10.1109/FiCloud62933.2024.00030,A Tool Condition Monitoring Study to Support Circular Economy
10.1016/j.conbuildmat.2023.132502,Manufacture of artificial lightweight aggregates recycled from anaerobic digested sewage sludge and process optimization by machine learning modeling techniques
